url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,289001904.sb3,22,1/4,1/4,4/4,4/4,2/4,2/4,4/4,0/4,4/4,0,0,0,1,None,Default,15,1/3,1/3,3/3,3/3,2/3,2/3,3/3,181
,269936808.sb3,19,1/4,3/4,1/4,3/4,2/4,2/4,4/4,0/4,3/4,0,0,2,1,None,Default,15,1/3,3/3,1/3,3/3,2/3,2/3,3/3,58
,302511216.sb3,13,1/4,1/4,1/4,2/4,2/4,1/4,4/4,0/4,1/4,0,0,0,1,None,Default,11,1/3,1/3,1/3,2/3,2/3,1/3,3/3,84
,272779500.sb3,17,1/4,4/4,0/4,4/4,2/4,1/4,1/4,0/4,4/4,0,14,17,2,None,Default,11,1/3,3/3,0/3,3/3,2/3,1/3,1/3,334
,303733509.sb3,26,3/4,1/4,4/4,2/4,4/4,2/4,4/4,3/4,3/4,0,0,0,0,None,Default,17,3/3,1/3,3/3,2/3,3/3,2/3,3/3,87
,277796202.sb3,26,4/4,3/4,4/4,2/4,3/4,2/4,4/4,0/4,4/4,0,1,2,3,None,Default,19,3/3,3/3,3/3,2/3,3/3,2/3,3/3,157
,260548623.sb3,14,1/4,4/4,0/4,2/4,2/4,1/4,1/4,0/4,3/4,0,0,4,3,None,Default,10,1/3,3/3,0/3,2/3,2/3,1/3,1/3,59
,293073156.sb3,20,1/4,1/4,2/4,3/4,3/4,2/4,4/4,1/4,3/4,0,5,2,0,None,Default,15,1/3,1/3,2/3,3/3,3/3,2/3,3/3,90
,294436427.sb3,11,1/4,1/4,0/4,2/4,2/4,1/4,1/4,0/4,3/4,0,1,3,0,None,Default,8,1/3,1/3,0/3,2/3,2/3,1/3,1/3,57
,215614010.sb3,25,2/4,4/4,4/4,2/4,4/4,2/4,4/4,0/4,3/4,2,2,0,0,None,Default,18,2/3,3/3,3/3,2/3,3/3,2/3,3/3,55
,273518232.sb3,21,4/4,3/4,2/4,2/4,4/4,2/4,1/4,0/4,3/4,0,2,5,1,None,Default,16,3/3,3/3,2/3,2/3,3/3,2/3,1/3,43
,259604047.sb3,14,1/4,4/4,0/4,2/4,1/4,1/4,1/4,0/4,4/4,0,0,0,0,None,Default,9,1/3,3/3,0/3,2/3,1/3,1/3,1/3,79
,306705473.sb3,11,1/4,1/4,1/4,0/4,2/4,2/4,1/4,0/4,3/4,0,1,1,1,None,Default,8,1/3,1/3,1/3,0/3,2/3,2/3,1/3,19
,277531773.sb3,23,4/4,3/4,3/4,2/4,2/4,1/4,4/4,1/4,3/4,0,3,6,1,None,Default,17,3/3,3/3,3/3,2/3,2/3,1/3,3/3,80
,308956749.sb3,27,1/4,3/4,3/4,3/4,4/4,2/4,4/4,3/4,4/4,0,7,2,1,None,Default,18,1/3,3/3,3/3,3/3,3/3,2/3,3/3,123
,284408326.sb3,30,4/4,4/4,4/4,3/4,4/4,3/4,4/4,3/4,1/4,6,7,1,0,None,Default,21,3/3,3/3,3/3,3/3,3/3,3/3,3/3,246
,280733763.sb3,9,1/4,1/4,0/4,0/4,2/4,2/4,1/4,1/4,1/4,0,0,6,1,None,Default,7,1/3,1/3,0/3,0/3,2/3,2/3,1/3,51
,285614785.sb3,17,1/4,4/4,1/4,3/4,2/4,2/4,4/4,0/4,0/4,0,0,0,0,None,Default,15,1/3,3/3,1/3,3/3,2/3,2/3,3/3,343
,288276433.sb3,30,3/4,4/4,4/4,3/4,4/4,2/4,4/4,2/4,4/4,2,0,0,1,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,309
,276929832.sb3,13,1/4,4/4,0/4,2/4,2/4,1/4,1/4,0/4,2/4,0,0,1,1,None,Default,10,1/3,3/3,0/3,2/3,2/3,1/3,1/3,73
